Feature 1,Feature 2,Label
2.20E+00,3.69E+00,1.00E+00
4.73E-01,-7.09E-01,2.00E+00
-2.67E-02,-1.34E+00,2.00E+00
-1.17E-01,-1.34E+00,2.00E+00
2.10E+00,1.14E+00,2.00E+00
2.51E+00,1.35E+00,2.00E+00
-2.21E-01,6.68E-01,1.00E+00
1.42E+00,4.66E-01,2.00E+00
1.41E+00,5.37E-01,2.00E+00
4.93E-01,1.64E+00,1.00E+00
5.59E-01,-4.39E-01,2.00E+00
2.33E+00,1.38E+00,2.00E+00
3.00E+00,2.07E+00,2.00E+00
2.38E+00,3.03E+00,1.00E+00
7.85E-01,-4.74E-01,2.00E+00
1.14E+00,2.32E+00,1.00E+00
-1.02E+00,2.68E-01,1.00E+00
-5.67E-01,6.41E-01,1.00E+00
5.96E-01,1.52E+00,1.00E+00
-2.29E-01,2.60E-01,1.00E+00
-6.83E-01,7.78E-01,1.00E+00
1.24E-01,-7.23E-01,2.00E+00
9.77E-01,-1.78E-01,2.00E+00
3.40E-01,-7.07E-01,2.00E+00
-1.21E-01,-9.61E-01,2.00E+00
-7.27E-01,-2.14E+00,2.00E+00
6.55E-01,-1.13E-01,2.00E+00
-8.19E-01,-1.43E+00,2.00E+00
2.54E+00,9.65E-01,2.00E+00
-1.31E+00,-2.28E-01,1.00E+00
-1.37E+00,-2.79E-02,1.00E+00
1.05E+00,-1.35E-01,2.00E+00
-2.75E-01,7.47E-01,1.00E+00
7.43E-01,6.30E-02,2.00E+00
-8.61E-01,3.97E-01,1.00E+00
-2.88E-01,-1.31E+00,2.00E+00
1.76E+00,5.93E-01,2.00E+00
-1.71E-01,7.69E-01,1.00E+00
-4.27E-01,6.85E-01,1.00E+00
5.01E-01,1.42E+00,1.00E+00
1.77E+00,1.26E+00,2.00E+00
4.36E-01,-6.51E-01,2.00E+00
4.96E-01,1.66E+00,1.00E+00
7.99E-01,2.06E+00,1.00E+00
2.35E-01,-4.79E-01,2.00E+00
1.82E+00,1.01E+00,2.00E+00
7.53E-01,1.81E+00,1.00E+00
8.70E-01,1.86E+00,1.00E+00
1.07E+00,1.47E-01,2.00E+00
-3.16E-01,5.15E-01,1.00E+00
1.37E+00,2.58E+00,1.00E+00
-1.79E-01,6.29E-01,1.00E+00
-2.50E-01,4.94E-01,1.00E+00
6.48E-01,1.78E+00,1.00E+00
-6.60E-02,-1.11E+00,2.00E+00
-1.52E+00,-2.42E+00,2.00E+00
2.12E+00,1.17E+00,2.00E+00
1.61E+00,5.04E-01,2.00E+00
-5.74E-03,-8.60E-01,2.00E+00
-2.24E-01,4.54E-01,1.00E+00
2.38E+00,1.38E+00,2.00E+00
-4.08E-01,6.44E-01,1.00E+00
1.15E+00,1.90E+00,1.00E+00
-3.79E-01,4.92E-01,1.00E+00
-3.66E-01,5.26E-01,1.00E+00
-2.29E+00,-1.44E+00,1.00E+00
2.20E+00,1.20E+00,2.00E+00
-9.57E-01,1.02E-01,1.00E+00
-4.35E-01,6.67E-01,1.00E+00
-1.07E+00,3.86E-01,1.00E+00
1.39E+00,2.30E+00,1.00E+00
2.11E+00,1.05E+00,2.00E+00
-1.98E-01,6.00E-01,1.00E+00
-1.63E+00,-6.45E-01,1.00E+00
1.10E+00,1.82E+00,1.00E+00
-8.57E-02,1.03E+00,1.00E+00
-1.48E+00,-2.57E+00,2.00E+00
-9.63E-01,-2.79E-02,1.00E+00
2.15E-01,-7.81E-01,2.00E+00
8.77E-01,-2.91E-01,2.00E+00
1.29E+00,2.36E+00,1.00E+00
7.74E-01,-2.40E-01,2.00E+00
3.45E+00,2.00E+00,2.00E+00
2.22E+00,9.90E-01,2.00E+00
6.29E-01,-4.54E-01,2.00E+00
4.92E-01,-7.36E-01,2.00E+00
7.74E-01,1.55E+00,1.00E+00
-3.81E-01,5.69E-01,1.00E+00
9.18E-01,-1.02E-01,2.00E+00
5.85E-01,1.43E+00,1.00E+00
1.13E+00,1.95E+00,1.00E+00
-3.92E-01,6.31E-01,1.00E+00
2.87E+00,1.95E+00,2.00E+00
2.47E+00,3.28E+00,1.00E+00
1.35E+00,7.33E-01,2.00E+00
1.00E+00,1.56E+00,1.00E+00
1.82E+00,8.10E-01,2.00E+00
1.73E+00,8.11E-01,2.00E+00
-1.04E+00,3.75E-01,1.00E+00
1.37E+00,1.01E-01,2.00E+00
